"","title.link","title.name","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel"
"237","flixpatrol.com/title/endless-love-2017/","Endless Love",0,1,1,4.9,7,45,6,0
"238","flixpatrol.com/title/locke-key/","Locke & Key",1,2,0,7.3,30,84,5,1
"239","flixpatrol.com/title/instant-dream-home/","Instant Dream Home",1,1,0,6.4,14,5,6,0
"240","flixpatrol.com/title/riverdale/","Riverdale",0,2,0,6.6,30,70,5,1
"241","flixpatrol.com/title/extraordinary-attorney-woo/","Extraordinary Attorney Woo",1,2,0,8.7,30,36.5,4,0
"242","flixpatrol.com/title/untold-the-girlfriend-who-didnt-exist/","Untold: The Girlfriend Who Didn't Exist",1,2,1,7.2,25.5,9.5,6,1
"243","flixpatrol.com/title/day-shift/","Day Shift",1,3,1,6.1,10.6666666666667,102.333333333333,5,0
"244","flixpatrol.com/title/running-with-the-devil-the-wild-world-of-john-mcafee/","Running with the Devil: The Wild World of John McAfee",1,1,1,5.9,23,18,7,0
"245","flixpatrol.com/title/uncharted/","Uncharted",0,4,1,6.3,29.75,51.25,4,0
"246","flixpatrol.com/title/the-next-365-days/","The Next 365 Days",1,2,1,2.7,25.5,47.5,6,0
"247","flixpatrol.com/title/the-gray-man-2022/","The Gray Man",1,6,1,6.5,29.1666666666667,40.3333333333333,2,0
"248","flixpatrol.com/title/untold-the-rise-and-fall-of-and1/","Untold: The Rise and Fall of AND1",1,1,1,6.8,23,9,7,1
"249","flixpatrol.com/title/glow-up-britains-next-make-up-star/","Glow Up: Britain's Next Make-Up Star",1,1,0,6.9,30,8,7,1
"250","flixpatrol.com/title/mo/","Mo",1,1,0,7.6,23,80,7,0
"251","flixpatrol.com/title/collateral/","Collateral",0,1,1,7.5,12,95,8,0
"252","flixpatrol.com/title/loving-adults/","Loving Adults",0,1,1,6.5,24,68,8,0
"253","flixpatrol.com/title/thats-amor/","That's Amor",1,1,1,5.3,25,42,8,0
"254","flixpatrol.com/title/snow-white-the-huntsman/","Snow White & the Huntsman",0,1,1,6.1,25,132,8,1
"255","flixpatrol.com/title/look-both-ways/","Look Both Ways",0,3,1,6.3,28.6666666666667,86.6666666666667,6,0
"256","flixpatrol.com/title/high-heat/","High Heat",1,3,0,4.8,11,76.6666666666667,6,0
"257","flixpatrol.com/title/selling-the-oc/","Selling The OC",1,2,0,5.5,23.5,4,7,0
"258","flixpatrol.com/title/virgin-river/","Virgin River",1,7,0,7.4,28.5714285714286,47,2,1
"259","flixpatrol.com/title/never-have-i-ever/","Never Have I Ever",1,4,0,7.8,28.75,77,5,1
"260","flixpatrol.com/title/me-time/","Me Time",1,3,1,5.1,12.6666666666667,35.3333333333333,7,0
"261","flixpatrol.com/title/love-in-the-villa/","Love in the Villa",1,2,1,5.4,29,41,8,0
"262","flixpatrol.com/title/this-is-40/","This Is 40",0,2,1,6.2,12,82,8,0
"263","flixpatrol.com/title/i-came-by/","I Came By",1,2,1,6.1,24,17,8,0
"264","flixpatrol.com/title/the-poison-rose-2019/","The Poison Rose",0,1,1,4.7,12,41,9,0
"265","flixpatrol.com/title/i-survived-a-crime/","I Survived a Crime",0,1,0,6.4,3,10,9,0
"266","flixpatrol.com/title/dated-and-related/","Dated and Related",1,1,0,4.6,24,3,9,0
"267","flixpatrol.com/title/partner-track/","Partner Track",1,3,0,6.7,23.6666666666667,40.6666666666667,7,0
"268","flixpatrol.com/title/echoes/","Echoes",1,4,0,5.9,24.75,64.5,6,0
